GenerateGetterAndSetter,com.intellij.java,JB_BUNDLED,52,169,11649
Vcs.Show.Local.Changes,,PLATFORM,52,119,11649
NewPackageJsonFile,JavaScript,JB_BUNDLED,52,55,11649
ViewMainMenu,,PLATFORM,51,97,11649
ToggleDistractionFreeMode,,PLATFORM,50,142,11649
Debugger.RemoveAllBreakpoints,,PLATFORM,50,115,11649
Vcs.ShowHistoryForBlock,,PLATFORM,49,130,11649
GenerateConstructor,com.intellij.java,JB_BUNDLED,48,135,11649
ActivateVersionControlToolWindow,,PLATFORM,48,63,11649
ChangeCodeStyleScheme,,PLATFORM,47,66,11649
performancePlugin.ShowMemoryDialogAction,,PLATFORM,47,60,11649
ImportProject,com.intellij.java,JB_BUNDLED,46,90,11649
NewElement,,PLATFORM,45,155,11649
IntroduceVariable,,PLATFORM,44,127,11649
JumpToColorsAndFonts,,PLATFORM,44,126,11649
ActivateProjectToolWindow,,PLATFORM,44,53,11649
EvaluateExpression,,PLATFORM,43,263,11649
ChooseRunConfiguration,,PLATFORM,43,151,11649
Inline,,PLATFORM,43,99,11649
Run,,PLATFORM,41,172,11649
RenameFile,,PLATFORM,41,65,11649
Synchronize,,PLATFORM,40,122,11649
NewFile,,PLATFORM,40,100,11649
CloseContent,,PLATFORM,40,99,11649
ChangesView.Shelve,,PLATFORM,40,79,11649
Github.Share,org.jetbrains.plugins.github,JB_BUNDLED,40,72,11649
Maven.ExecuteGoal,org.jetbrains.idea.maven,JB_BUNDLED,39,146,11649
SplitHorizontally,,PLATFORM,39,72,11649
ChangeSignature,,PLATFORM,39,62,11649
Register,,PLATFORM,39,50,11649
ActivateStructureToolWindow,,PLATFORM,39,41,11649
CopyReferencePopupGroup,,PLATFORM,38,147,11649
Android.RunAndroidAvdManager,org.jetbrains.android,JB_BUNDLED,38,114,11649
CompileProject,com.intellij.java,JB_BUNDLED,37,151,11649
CodeCleanup,,PLATFORM,37,84,11649
CompareDirs,,PLATFORM,37,48,11649
CopyReference,,PLATFORM,36,158,11649
RearrangeCode,,PLATFORM,36,62,11649
CWMManageLicense,com.jetbrains.codeWithMe,JB_BUNDLED,36,46,11649
Gradle.ExecuteTask,com.intellij.gradle,JB_BUNDLED,35,83,11649
Vcs.VcsClone,,PLATFORM,35,49,11649
ShowSettings,,PLATFORM,35,46,11649
WelcomeScreen.Configure.Import,,PLATFORM,35,41,11649
Help.KeymapReference,,PLATFORM,35,41,11649
EditorToggleShowLineNumbers,,PLATFORM,34,76,11649
RevealIn,,PLATFORM,34,74,11649
ExpandAllRegions,,PLATFORM,34,53,11649
NewClass,com.intellij.java,JB_BUNDLED,33,166,11649
NewDir,,PLATFORM,33,133,11649
ConvertIndentsToTabs,,PLATFORM,33,118,11649
OverrideMethods,,PLATFORM,33,84,11649
Vcs.Show.Shelf,,PLATFORM,33,51,11649
ShowNpmScripts,JavaScript,JB_BUNDLED,33,41,11649
EditorToggleColumnMode,,PLATFORM,32,407,11649
ActivateCommitToolWindow,,PLATFORM,32,103,11649
Debug,,PLATFORM,32,89,11649
Unscramble,,PLATFORM,32,74,11649
ExtractInterface,,PLATFORM,32,52,11649
ConvertIndentsToSpaces,,PLATFORM,32,51,11649
GuidGenerator,,PLATFORM,31,96,11649
ChangesView.ApplyPatchFromClipboard,,PLATFORM,30,57,11649
ImplementMethods,,PLATFORM,30,53,11649
Vcs.Show.Log,,PLATFORM,30,47,11649
HTTP.Request.NewFile,com.jetbrains.restClient,JB_BUNDLED,30,40,11649
InsertLiveTemplate,,PLATFORM,30,33,11649
SaveAll,,PLATFORM,29,1208,11649
Back,,PLATFORM,29,258,11649
ReformatWithPrettierAction,intellij.prettierJS,JB_NOT_BUNDLED,29,66,11649
UnsplitAll,,PLATFORM,29,62,11649
ViewToolButtons,,PLATFORM,28,160,11649
ShowColorPicker,,PLATFORM,28,74,11649
ExternalSystem.RefreshAllProjects,,PLATFORM,27,132,11649
FindUsages,,PLATFORM,27,118,11649
FixDocComment,,PLATFORM,27,71,11649
CloseAllNotifications,,PLATFORM,27,52,11649
ShowExperiments,,PLATFORM,27,37,11649
GotoDeclaration,,PLATFORM,26,218,11649
Terminal.OpenInTerminal,org.jetbrains.plugins.terminal,JB_BUNDLED,26,40,11649
CWMLearnMoreAction,com.jetbrains.codeWithMe,JB_BUNDLED,26,27,11649
SelectInProjectView,,PLATFORM,25,90,11649
ViewStatusBar,,PLATFORM,25,73,11649
SaveAsTemplate,,PLATFORM,25,59,11649
MembersPullUp,,PLATFORM,25,58,11649
AssociateWithFileType,,PLATFORM,25,35,11649
WelcomeScreen.ManageLicense,,PLATFORM,25,29,11649
GenerateGetter,com.intellij.java,JB_BUNDLED,24,76,11649
QuickChangeScheme,,PLATFORM,24,69,11649
WebDeployment.Configuration,com.jetbrains.plugins.webDeployment,JB_BUNDLED,24,67,11649
Exit,,PLATFORM,24,58,11649
GotoTest,,PLATFORM,24,57,11649
IntroduceConstant,,PLATFORM,24,42,11649
SwitchCoverage,,PLATFORM,24,35,11649
CallHierarchy,,PLATFORM,24,35,11649
SearchEverywhere,,PLATFORM,24,34,11649
Github.View.Pull.Request,org.jetbrains.plugins.github,JB_BUNDLED,24,34,11649
MoveTabDown,,PLATFORM,24,29,11649
ActivateDebugToolWindow,,PLATFORM,24,27,11649
GotoLine,,PLATFORM,24,24,11649
XDebugger.AttachToProcess,,PLATFORM,23,143,11649
