CodeCleanup,,PLATFORM,45,295,10097
Svn.Show.Working.Copies,Subversion,JB_BUNDLED,6,6,10097
SharedIndexes.DumpSharedIndex,intellij.indexing.shared,JB_BUNDLED,3,3,10097
JupyterCreateFileAction,com.jetbrains.pycharm.ds.customization,JB_BUNDLED,1,1,10097
ViewObsoleteNavBarAction,,PLATFORM,2,7,10097
HTTPClient.NewRequestInToolMenuAction,com.jetbrains.restClient,JB_BUNDLED,2,3,10097
PinActiveTab,,PLATFORM,3,22,10097
Maven.GroupProjects,org.jetbrains.idea.maven,JB_BUNDLED,4,10,10097
XPathView.Actions.Evaluate,XPathView,JB_BUNDLED,1,2,10097
HideCoverage,,PLATFORM,8,27,10097
RiderBackendAction-EncapsulateField,,PLATFORM,1,18,10097
ExternalSystem.RefreshAllProjects,,PLATFORM,21,90,10097
EditCustomProperties,,PLATFORM,10,11,10097
com.intellij.space.actions.SpaceLoginAction,com.jetbrains.space,JB_BUNDLED,4,4,10097
FindWordAtCaret,,PLATFORM,3,3,10097
HippieBackwardCompletion,,PLATFORM,2,2,10097
Kubernetes.Refresh,com.intellij.kubernetes,JB_NOT_BUNDLED,1,1,10097
ProjectView.ShowVisibilityIcons,,PLATFORM,1,1,10097
NewElementSamePlace,,PLATFORM,3,3,10097
$Delete,,PLATFORM,7,7,10097
JupyterClearOutputsAction,Pythonid,JB_BUNDLED,13,68,10097
NewEditorConfigFile,org.editorconfig.editorconfigjetbrains,JB_BUNDLED,13,15,10097
NextSplitter,,PLATFORM,5,6,10097
Spring.Beans.Generate.Testing.Dependency.Action,com.intellij.spring,JB_BUNDLED,2,2,10097
ToggleLoginAction,org.jetbrains.toolbox-enterprise-client,JB_NOT_BUNDLED,1,4,10097
EditorShowGutterIconTooltip,,PLATFORM,1,1,10097
ToggleTypeHints,org.intellij.scala,JB_NOT_BUNDLED,1,2,10097
PublishGroup.Upload,com.jetbrains.plugins.webDeployment,JB_BUNDLED,13,274,10097
EditorToggleUseSoftWraps,,PLATFORM,224,547,10097
CollapseRegion,,PLATFORM,12,26,10097
Console.Toggle.Notebook.Mode,com.intellij.database,JB_BUNDLED,1,1,10097
RiderUnitTestCoverSolutionAction,com.jetbrains.dotCover,JB_BUNDLED,4,7,10097
ChangesView.Diff,,PLATFORM,2,2,10097
DeleteOldAppDirs,,PLATFORM,4,5,10097
$Redo,,PLATFORM,4,4,10097
FileEditor.OpenDataEditor,com.intellij.database,JB_BUNDLED,4,7,10097
CollapseAllRegions,,PLATFORM,56,125,10097
CreateLauncherScript,,PLATFORM,15,20,10097
CompareTwoFiles,,PLATFORM,22,51,10097
JupyterCreateFileAction,Pythonid,JB_NOT_BUNDLED,1,1,10097
KotlinGenerateEqualsAndHashCode,org.jetbrains.kotlin,JB_BUNDLED,3,3,10097
RestartIde,,PLATFORM,11,12,10097
ReSharperNavigateTo,,PLATFORM,2,2,10097
CopyElement,,PLATFORM,3,4,10097
XamarinIOSSessionConnection,,PLATFORM,1,1,10097
CopyContentRootPath,,PLATFORM,4,6,10097
ExpandAllRegions,,PLATFORM,28,36,10097
Maven.DownloadAllSources,org.jetbrains.idea.maven,JB_BUNDLED,2,2,10097
StretchSplitToLeft,,PLATFORM,1,2,10097
RunJsbtTask,JavaScript,JB_BUNDLED,3,3,10097
RunDashboard.Run,,PLATFORM,1,1,10097
MergeSettings,org.jetbrains.settingsRepository,JB_BUNDLED,1,1,10097
GotoSuperMethod,,PLATFORM,2,3,10097
Find,,PLATFORM,7,7,10097
WelcomeScreen.CreateNewProject,com.intellij.java,JB_BUNDLED,18,27,10097
ChangesView.CreatePatchFromChanges,,PLATFORM,1,1,10097
ShowModulesDependencies,,PLATFORM,4,8,10097
DevKit.ApplyTheme,DevKit,JB_BUNDLED,6,8,10097
XDebugger.PreviewTab,,PLATFORM,5,8,10097
ChangeSplitOrientation,,PLATFORM,2,2,10097
RiderNuGetToggleToolWindowAction,,PLATFORM,2,2,10097
TeamCity.MainMenu.RemoteRunAction,Jetbrains TeamCity Plugin,JB_NOT_BUNDLED,1,1,10097
QuickChangeScheme,,PLATFORM,22,38,10097
Github.Create.Pull.Request,org.jetbrains.plugins.github,JB_BUNDLED,44,117,10097
NewFile,,PLATFORM,29,85,10097
com.goide.vgo.actions.VgoSyncAction,org.jetbrains.plugins.go,JB_NOT_BUNDLED,2,6,10097
Qodana.OpenReportAction,org.intellij.qodana,JB_BUNDLED,1,1,10097
Vcs.Show.Shelf,,PLATFORM,17,30,10097
EntityFramework.GetMigrations,,PLATFORM,1,2,10097
GenerateSetUpMethod,com.intellij.java,JB_BUNDLED,2,2,10097
ExtractFunction,org.jetbrains.kotlin,JB_BUNDLED,2,2,10097
CheckinFiles,,PLATFORM,6,9,10097
NewModuleInfo,com.intellij.java,JB_BUNDLED,2,2,10097
Console.Jdbc.ToggleParameters,com.intellij.database,JB_BUNDLED,1,1,10097
TC.VCS.RemoteRunPushAction,Jetbrains TeamCity Plugin,JB_NOT_BUNDLED,1,3,10097
ViewStatusBar,,PLATFORM,19,69,10097
ShowNpmScripts,JavaScript,JB_BUNDLED,24,34,10097
EditorToggleColumnMode,,PLATFORM,25,53,10097
PublishGroup.CompareLocalVsRemoteWith,com.jetbrains.plugins.webDeployment,JB_BUNDLED,2,11,10097
HighlightUsagesInFile,,PLATFORM,7,9,10097
Git.Ignore.File,Git4Idea,JB_BUNDLED,2,2,10097
EditorCodeBlockStart,,PLATFORM,1,1,10097
ConfigureKotlinInProject,org.jetbrains.kotlin,JB_BUNDLED,3,6,10097
org.jetbrains.r.rendering.chunk.ImageSettingsAction,R4Intellij,JB_BUNDLED,1,1,10097
EntityFramework.AddMigration,,PLATFORM,2,2,10097
NewJSONFile,,PLATFORM,1,1,10097
ChangesView.SaveToShelve,,PLATFORM,2,3,10097
IdeScriptingConsole,,PLATFORM,9,13,10097
PhpGenerateGettersAndSetters,com.jetbrains.php,JB_BUNDLED,10,22,10097
rails:generator:rspec,org.jetbrains.plugins.ruby,JB_NOT_BUNDLED,1,1,10097
com.jetbrains.php.composer.ComposerInitSupportAction,com.jetbrains.php,JB_BUNDLED,1,2,10097
CodeInspection.OnEditor,,PLATFORM,1,1,10097
Git.Log.Branches.GroupBy.Directory,Git4Idea,JB_BUNDLED,1,1,10097
RiderNuGetManagePackagesForProjectAction,,PLATFORM,1,1,10097
ShowTips,,PLATFORM,5,6,10097
